date,k_max_helsinki,ak_helsinki,n_missing_k
1845-10-02,2.0,2.0,0
1845-10-03,4.0,7.0,0
1845-10-04,3.0,4.0,0
1845-10-05,2.0,2.0,0
1845-10-06,4.0,7.0,0
1845-10-07,2.0,4.0,0
1845-10-08,3.0,5.0,0
1845-10-09,3.0,4.0,0
1845-10-10,5.0,16.0,0
1845-10-11,3.0,7.0,0
1845-10-12,2.0,3.0,0
1845-10-13,2.0,2.0,0
1845-10-14,3.0,3.0,0
1845-10-15,3.0,3.0,0
1845-10-16,1.0,2.0,0
1845-10-17,3.0,7.0,0
1845-10-18,3.0,6.0,0
1845-10-19,2.0,2.0,0
1845-10-20,4.0,8.0,0
1845-10-21,4.0,13.0,0
1845-10-22,3.0,7.0,0
1845-10-23,2.0,2.0,0
1845-10-24,2.0,5.0,0
1845-10-25,3.0,5.0,0
1845-10-26,2.0,1.0,0
1845-10-27,1.0,2.0,0
1845-10-28,3.0,3.0,0
1845-10-29,2.0,4.0,0
1845-10-30,2.0,2.0,0
1845-10-31,3.0,3.0,0
1845-11-01,3.0,8.0,0
1845-11-02,4.0,7.0,0
1845-11-03,3.0,6.0,0
1845-11-04,2.0,4.0,0
1845-11-05,3.0,10.0,0
1845-11-06,1.0,0.0,0
1845-11-07,3.0,6.0,0
1845-11-08,2.0,2.0,0
1845-11-09,2.0,1.0,0
1845-11-10,3.0,4.0,0
1845-11-11,3.0,5.0,0
1845-11-12,3.0,4.0,0
1845-11-13,1.0,1.0,0
1845-11-14,1.0,0.0,0
1845-11-15,1.0,1.0,0
1845-11-16,1.0,0.0,0
1845-11-17,5.0,14.0,0
1845-11-18,5.0,12.0,0
1845-11-19,4.0,10.0,0
1845-11-20,3.0,4.0,0
1845-11-21,2.0,1.0,0
1845-11-22,3.0,3.0,0
1845-11-23,2.0,2.0,0
1845-11-24,3.0,5.0,0
1845-11-25,3.0,2.0,0
1845-11-26,3.0,3.0,0
1845-11-27,3.0,5.0,0
1845-11-28,3.0,5.0,0
1845-11-29,2.0,4.0,0
1845-11-30,3.0,4.0,0
1845-12-01,1.0,1.0,0
1845-12-02,3.0,5.0,0
1845-12-03,5.0,16.0,0
1845-12-04,4.0,7.0,0
1845-12-05,3.0,5.0,0
1845-12-06,3.0,5.0,0
1845-12-07,3.0,4.0,0
1845-12-08,2.0,2.0,0
1845-12-09,3.0,2.0,0
1845-12-10,2.0,3.0,0
1845-12-11,1.0,1.0,0
1845-12-12,3.0,6.0,0
1845-12-13,4.0,11.0,0
1845-12-14,2.0,2.0,0
1845-12-15,4.0,9.0,0
1845-12-16,3.0,6.0,0
1845-12-17,3.0,4.0,0
1845-12-18,3.0,7.0,0
1845-12-19,0.0,0.0,0
