event_index,t_days,year,ssn_at_event,mu_at_event_per_year,p_background_v5
46,5712.360231715799,1947.6395899567851,205.8012713915115,3.8991497044119034,0.9999999982018992
47,5918.753077830699,1948.2046627729794,200.70398793886238,3.8172596175796722,1.0
48,6134.861226381954,1948.7963346375961,211.8699530119564,3.996240728407095,1.0
49,6135.743221227504,1948.7987494078782,211.60564868357827,3.992021187577299,0.10131087534619765
50,6234.099719999763,1949.0680348254614,192.47776928343526,3.684422173731566,1.0
51,6235.032346028556,1949.0705882163684,192.41448010710724,3.683396837679343,0.09702397712256765
52,6341.606488973242,1949.3623723175174,189.17148736833053,3.6307879071310993,1.0
53,6342.7807405166695,1949.36558724303,189.2021766480139,3.631286405203847,0.1100685454855737
54,6497.132082996455,1949.788178187533,172.45920398325686,3.3574117782330237,1.0
55,6625.102154699596,1950.1385411490749,156.15496496193865,3.0867548260578537,1.0
56,6805.345194748877,1950.632019698149,111.27648040459238,2.317199444314652,1.0
57,6806.751764717162,1950.6358706768438,111.08252085494469,2.3137807017214675,0.08380255681318786
58,7107.328201779445,1951.458804111648,96.66448813810531,2.0569424967675833,1.0
59,7207.828030425474,1951.7339576466131,86.19906625333242,1.8668323427575502,1.0
60,7208.362060332384,1951.7354197408142,86.14811653882158,1.8658984409024195,0.040448558043062084
61,7240.204941148865,1951.822600797122,81.3174558629266,1.7769590080645685,0.9999999187210573
62,7370.996153658837,1952.1806876212424,59.06388429710715,1.3556739816536703,1.0
63,7416.654460537234,1952.3056932526688,50.94256720505018,1.1961519915735777,0.9999999999899695
64,7452.2218895439555,1952.403071566171,47.648738995249076,1.1303633226748482,0.9999999931425682
65,7486.710750247492,1952.4974969205955,45.37786946141137,1.0846004680667567,0.9999999857279256
66,8821.947639346507,1956.153176288423,145.31373025373048,2.9043918728736946,1.0
67,8883.800344644409,1956.3225197663091,172.92649934610284,3.365109396475287,0.9999999999999998
68,8902.007959570908,1956.3723694991675,182.258886776473,3.5181826198076593,0.9998494639213159
69,9011.229668898586,1956.6714022420222,211.42581119362845,3.989149671964171,1.0
70,9017.487554392997,1956.6885353987489,212.1663652206409,4.000971899957886,0.7802027218378237
71,9152.538055405119,1957.0582835192474,240.37248270574216,4.446755481162054,1.0
72,9153.098875132535,1957.0598189599796,240.4322671976869,4.44769148093616,0.09274135102656537
73,9192.92703750192,1957.1688625256727,246.97768747207166,4.549953985966759,0.9999999998117676
74,9312.406933517323,1957.4959806530248,269.6429245592823,4.9009296903705835,1.0
75,9314.09335544194,1957.5005978246186,269.7058276384557,4.901897278572797,0.18822722332663092
76,9377.980164356442,1957.6755103746925,274.3190815349846,4.97276537931395,1.0
77,9378.166104520868,1957.676019451118,274.3589405408297,4.973376885092269,0.08246663878419865
