event_index,t_days,year,p_background,most_likely_parent
80,9396.717522258437,1957.7268104647733,0.8426803109891292,79
81,9397.556436837349,1957.7291072877135,0.04811373777950893,80
82,9403.656387550147,1957.745808042574,0.3923304854235763,81
83,9538.068420516907,1958.113808132832,1.0,82
84,9647.611722127062,1958.4137213473705,1.0,83
85,9676.66696983717,1958.4932702801839,0.9999982262191834,84
86,9685.070987955392,1958.516279227804,0.7973972040818631,85
87,9743.803317871701,1958.6770795834955,0.9999999999999303,86
88,9744.719785985062,1958.679588736441,0.05047661904855958,87
89,9946.552841987586,1959.2321775276866,1.0,88
90,9947.152510555456,1959.2338193307473,0.042428649412253175,89
91,9993.084179312436,1959.359573386208,0.9999999998146933,90
92,10057.630185304835,1959.5362907195204,0.9999999999999977,91
93,10059.92902867217,1959.5425846096432,0.10529489731362882,92
94,10060.268558170912,1959.5435141907485,0.02923970607841294,93
95,10089.563255187993,1959.6237187000356,0.9999968436133622,94
96,10090.2801600181,1959.625681478489,0.04525297660048192,95
97,10193.996126735025,1959.909640319603,1.0,96
98,10317.491962422615,1960.247753490548,1.0,97
99,10318.197138856567,1960.2496841584027,0.04496255756458678,98
100,10347.219263817518,1960.3291424060712,0.9999969867932513,99
101,10355.483303599698,1960.3517681138937,0.784085003869953,100
102,10423.653961581025,1960.5384092035072,0.9999999999999997,101
103,10424.446865441807,1960.5405800559665,0.04717863079674118,102
104,10474.26799215314,1960.676982866949,0.9999999999810575,103
105,10506.016612173295,1960.7639058512616,0.9999996229176631,104
106,10507.91809115695,1960.7691118169937,0.08563215878306882,105
107,10543.818836884595,1960.8674027019429,0.9999999537307512,106
108,10544.247801622309,1960.8685771433875,0.03861577785953036,107
109,10547.999259423761,1960.8788480750823,0.13215317850776892,108
110,10562.123941754411,1960.9175193477192,0.9886987227936711,109
111,10786.481479004926,1961.5317768076795,1.0,110
112,10787.115921408717,1961.533513816314,0.04324833613386091,111
113,10800.669254968678,1961.5706208212696,0.9781850954724971,112
114,10865.615052993357,1961.7484327255122,0.9999999999999981,113
115,10866.437185345627,1961.75068360122,0.04793976044985518,114
116,10893.865191807907,1961.8257773903024,0.999992661786443,115
117,11587.380085668196,1963.7245176883455,1.0,116
118,11588.416434074197,1963.7273550556447,0.05388401370098114,117
119,11624.853105533717,1963.8271132252805,0.9999999604997305,118
120,12664.436586366668,1966.6733376765685,1.0,119
121,12665.687110325547,1966.6767614245737,0.06051714483167694,120
122,12830.825543871735,1967.128885814844,1.0,121
123,12928.242435201371,1967.3955987274508,1.0,122
124,12929.107206939507,1967.3979663434347,0.04907105913763772,123
125,12940.702263994861,1967.4297118795205,0.9387430977478199,124
126,13311.531814177379,1968.4449878553796,1.0,125
127,13453.17962022769,1968.83279841267,1.0,126
128,13454.421682308472,1968.8361989933155,0.06024115424651589,127
129,13547.971661557667,1969.0923248776392,1.0,128
130,13596.24840288524,1969.224499391883,0.9999999999718293,129
131,13597.011964280056,1969.2265899090487,0.046426095275949146,130
132,13787.238700639908,1969.747402328925,1.0,131
133,13946.552852499784,1970.183580704996,1.0,132
